customer_id,last_order_date,frequency,monetary,recency_days,R,F,M,segment
37,2025-12-31,16,1246.98,89,4,5,5,VIP
38,2025-10-24,6,368.97,157,3,3,3,Loyal
39,2026-02-03,9,875.69,55,5,4,4,VIP
40,2024-10-14,3,259.33,532,1,1,2,Lost
41,2025-10-31,5,448.83,150,3,2,3,Loyal
42,2025-05-26,3,146.93,308,2,1,2,Lost
43,2025-02-17,7,530.44,406,1,3,4,At-risk
44,2025-11-14,7,491.13,136,3,3,3,Loyal
45,2025-06-07,8,605.7,296,2,3,4,At-risk
46,2024-10-25,7,615.56,521,1,3,4,At-risk
47,2025-07-19,6,420.0,254,2,3,3,At-risk
48,2025-11-07,8,636.29,143,3,3,4,Loyal
49,2025-07-12,10,742.95,261,2,4,4,At-risk
50,2026-02-17,15,1835.74,41,5,5,5,VIP
51,2026-02-11,13,997.04,47,5,4,4,VIP
52,2026-03-14,19,2434.61,16,5,5,5,VIP
53,2025-10-10,10,590.9,171,3,4,4,Loyal
54,2025-05-20,9,772.68,314,2,4,4,At-risk
55,2025-05-27,11,664.61,307,2,4,4,At-risk
56,2025-05-11,8,892.5600000000001,323,2,3,4,At-risk
57,2025-08-16,4,182.89,226,2,2,2,Lost
58,2025-10-01,2,133.28,180,3,1,1,Loyal
59,2026-02-25,18,794.75,33,5,5,4,VIP
60,2026-01-24,8,818.7,65,4,3,4,Loyal
61,2025-07-10,3,239.19,263,2,1,2,Lost
62,2025-07-09,3,93.09,264,2,1,1,Lost
63,2025-10-08,3,82.63,173,3,1,1,Loyal
64,2025-04-17,3,230.66000000000003,347,2,1,2,Lost
65,2026-01-17,7,348.51,72,4,3,3,Loyal
66,2025-11-27,6,181.32,123,3,3,2,Loyal
67,2026-01-31,6,294.02,58,4,3,3,Loyal
68,2025-02-25,4,303.75,398,1,2,3,At-risk
69,2026-02-19,19,1907.6200000000001,39,5,5,5,VIP
70,2025-04-14,2,75.78999999999999,350,2,1,1,Lost
71,2026-02-08,19,2382.7200000000003,50,5,5,5,VIP
72,2025-05-28,2,143.59,306,2,1,2,Lost
73,2024-11-08,4,76.36,507,1,2,1,Lost
74,2025-12-11,21,2870.23,109,4,5,5,VIP
75,2026-02-05,33,3568.39,53,5,5,5,VIP
76,2026-01-24,8,1025.1,65,4,4,4,VIP
77,2026-02-08,17,1981.23,50,5,5,5,VIP
78,2025-02-18,7,578.4300000000001,405,1,3,4,At-risk
79,2025-11-05,2,174.35,145,3,1,2,Loyal
80,2025-11-02,5,478.28,148,3,2,3,Loyal
81,2025-04-04,5,196.69,360,2,2,2,Lost
82,2025-07-29,4,118.68,244,2,2,1,Lost
83,2025-04-30,4,177.03,334,2,2,2,Lost
84,2026-01-30,10,807.28,59,4,4,4,VIP
85,2026-03-08,36,8599.65,22,5,5,5,VIP
86,2026-02-23,16,1105.54,35,5,5,4,VIP
87,2025-05-07,7,494.21,327,2,3,3,At-risk
88,2025-08-06,7,312.53000000000003,236,2,3,3,At-risk
89,2026-03-03,15,1185.73,27,5,5,5,VIP
90,2025-04-07,3,226.45999999999998,357,2,1,2,Lost
91,2026-03-08,8,697.1800000000001,22,5,4,4,VIP
92,2025-10-21,10,363.57,160,3,4,3,Loyal
93,2025-11-30,5,344.64,120,3,2,3,Loyal
94,2026-02-23,6,326.36,35,5,3,3,Loyal
95,2025-08-28,5,359.8,214,3,2,3,Loyal
96,2025-09-14,5,271.88,197,3,2,3,Loyal
97,2026-01-29,6,243.01,60,4,3,2,Loyal
98,2026-02-06,10,954.4300000000001,52,5,4,4,VIP
99,2026-03-13,19,1262.62,17,5,5,5,VIP
100,2024-05-12,2,54.64,687,1,1,1,Lost
101,2024-09-18,2,47.97,558,1,1,1,Lost
102,2024-09-29,4,118.28,547,1,2,1,Lost
103,2026-01-03,17,2073.48,86,4,5,5,VIP
104,2024-05-10,3,108.88999999999999,689,1,1,1,Lost
105,2025-05-02,11,1034.35,332,2,4,4,At-risk
106,2025-03-30,6,411.2,365,2,3,3,At-risk
107,2026-01-16,3,83.02,73,4,1,1,Loyal
108,2025-07-19,9,1149.97,254,2,4,4,At-risk
109,2026-02-02,13,907.73,56,4,4,4,VIP
110,2025-03-06,2,35.84,389,2,1,1,Lost
111,2025-07-04,2,89.22,269,2,1,1,Lost
112,2026-02-06,12,946.0,52,5,4,4,VIP
113,2025-11-01,4,388.4,149,3,2,3,Loyal
114,2025-12-10,3,128.57999999999998,110,4,1,1,Loyal
115,2026-03-10,8,726.23,20,5,4,4,VIP
116,2024-10-08,2,87.99,538,1,1,1,Lost
117,2025-09-25,10,744.72,186,3,4,4,Loyal
118,2025-05-06,5,414.66,328,2,2,3,At-risk
119,2025-02-24,2,185.11,399,1,1,2,Lost
120,2025-10-12,6,216.28,169,3,3,2,Loyal
121,2025-11-03,3,173.05,147,3,1,2,Loyal
122,2025-07-18,4,158.96,255,2,2,2,Lost
123,2026-02-04,16,955.07,54,5,5,4,VIP
124,2025-11-26,5,346.28,124,3,2,3,Loyal
125,2026-03-23,38,5415.38,7,5,5,5,VIP
126,2025-12-27,7,305.14,93,4,3,3,Loyal
127,2025-12-04,5,482.51,116,3,2,3,Loyal
128,2026-01-23,20,1129.0,66,4,5,4,VIP
129,2026-01-31,13,961.61,58,4,4,4,VIP
130,2025-01-31,3,107.99000000000001,423,1,1,1,Lost
131,2025-12-20,13,849.0,100,4,4,4,VIP
132,2024-07-26,4,73.7,612,1,2,1,Lost
133,2025-09-09,3,205.33,202,3,1,2,Loyal
134,2026-01-05,6,409.72,84,4,3,3,Loyal
135,2026-01-14,6,292.91,75,4,3,3,Loyal
136,2026-03-13,31,2567.68,17,5,5,5,VIP
137,2024-08-05,3,74.13,602,1,1,1,Lost
138,2026-01-31,7,591.8,58,4,3,4,Loyal
139,2025-02-14,3,284.87,409,1,1,3,At-risk
140,2026-01-23,8,713.27,66,4,4,4,VIP
141,2025-11-13,2,157.19,137,3,1,2,Loyal
142,2025-07-18,5,147.60999999999999,255,2,2,2,Lost
143,2024-06-11,3,135.07999999999998,657,1,1,1,Lost
144,2026-01-23,6,508.65999999999997,66,4,3,4,Loyal
145,2026-01-05,5,249.11,84,4,2,2,Loyal
146,2026-01-28,17,1061.77,61,4,5,4,VIP
147,2025-06-25,6,310.27,278,2,3,3,At-risk
148,2026-02-07,4,139.22,51,5,2,2,Loyal
149,2026-02-10,5,359.57,48,5,2,3,Loyal
150,2026-02-21,25,5658.34,37,5,5,5,VIP
151,2025-05-25,5,180.0,309,2,2,2,Lost
152,2024-05-21,4,118.89999999999999,678,1,2,1,Lost
153,2026-02-24,19,1574.27,34,5,5,5,VIP
154,2025-12-30,6,392.59,90,4,3,3,Loyal
155,2026-02-19,8,805.21,39,5,4,4,VIP
156,2025-03-19,5,380.51,376,2,2,3,At-risk
157,2026-02-12,14,765.51,46,5,4,4,VIP
158,2025-07-06,8,343.59,267,2,4,3,At-risk
159,2025-07-06,9,704.5699999999999,267,2,4,4,At-risk
160,2025-03-18,8,601.5699999999999,377,2,4,4,At-risk
161,2026-01-08,13,1697.6399999999999,81,4,4,5,VIP
162,2024-05-06,3,167.92,693,1,1,2,Lost
163,2025-12-07,12,607.04,113,4,4,4,VIP
164,2026-03-19,32,3509.47,11,5,5,5,VIP
165,2025-12-13,6,501.0,107,4,3,3,Loyal
166,2025-06-19,2,138.51999999999998,284,2,1,2,Lost
167,2025-05-02,3,210.2,332,2,1,2,Lost
168,2025-04-10,10,932.81,354,2,4,4,At-risk
169,2025-08-08,2,168.31,234,2,1,2,Lost
170,2024-11-01,2,54.33,514,1,1,1,Lost
171,2026-01-21,17,1805.97,68,4,5,5,VIP
172,2025-07-30,5,204.73,243,2,2,2,Lost
173,2026-01-28,21,1193.46,61,4,5,5,VIP
174,2025-04-16,3,138.68,348,2,1,2,Lost
175,2026-01-17,10,824.95,72,4,4,4,VIP
176,2026-02-12,40,4520.14,46,5,5,5,VIP
177,2026-03-08,6,144.35999999999999,22,5,3,2,Loyal
178,2024-08-22,3,89.35,585,1,1,1,Lost
179,2024-11-12,2,61.71,503,1,1,1,Lost
180,2025-04-07,4,333.05,357,2,2,3,At-risk
181,2025-02-08,3,97.98,415,1,1,1,Lost
182,2024-09-14,2,89.18,562,1,1,1,Lost
183,2025-09-30,6,536.33,181,3,3,4,Loyal
184,2026-01-26,7,477.45,63,4,3,3,Loyal
185,2025-04-21,7,316.14,343,2,3,3,At-risk
186,2025-11-18,9,529.35,132,3,4,4,Loyal
187,2025-09-13,4,275.79,198,3,2,3,Loyal
188,2026-03-04,13,1128.9,26,5,4,4,VIP
189,2025-06-21,3,96.2,282,2,1,1,Lost
190,2025-11-03,10,676.3,147,3,4,4,Loyal
191,2024-05-13,1,43.48,686,1,1,1,Lost
192,2026-02-23,11,665.65,35,5,4,4,VIP
193,2025-09-05,11,637.56,206,3,4,4,Loyal
194,2025-09-14,11,459.79,197,3,4,3,Loyal
195,2026-03-10,18,1391.73,20,5,5,5,VIP
196,2026-03-13,21,1491.12,17,5,5,5,VIP
197,2025-10-21,5,431.08,160,3,2,3,Loyal
198,2024-06-21,1,36.02,647,1,1,1,Lost
199,2026-01-09,14,783.33,80,4,4,4,VIP
200,2025-12-29,6,210.15,91,4,3,2,Loyal
201,2025-08-30,6,492.68,212,3,3,3,Loyal
202,2024-12-16,4,101.44,469,1,2,1,Lost
203,2025-05-28,2,106.8,306,2,1,1,Lost
204,2026-02-14,19,1023.52,44,5,5,4,VIP
205,2026-03-10,25,5864.65,20,5,5,5,VIP
206,2026-02-13,13,1051.01,45,5,4,4,VIP
207,2026-02-14,15,1692.47,44,5,5,5,VIP
208,2025-04-29,5,164.51999999999998,335,2,2,2,Lost
209,2026-03-13,8,1117.19,17,5,4,4,VIP
210,2025-09-25,2,97.16,186,3,1,1,Loyal
211,2025-08-18,9,734.69,224,2,4,4,At-risk
212,2025-11-18,3,83.26,132,3,1,1,Loyal
213,2026-02-04,12,1609.18,54,5,4,5,VIP
214,2025-03-13,11,361.44,382,2,4,3,At-risk
215,2025-02-16,7,368.71999999999997,407,1,3,3,At-risk
216,2025-04-09,3,286.31,355,2,1,3,At-risk
217,2026-01-23,11,1546.99,66,4,4,5,VIP
218,2026-02-07,13,1039.97,51,5,4,4,VIP
219,2024-07-06,4,91.28999999999999,632,1,2,1,Lost
220,2025-11-27,7,251.08,123,3,3,2,Loyal
221,2026-03-04,2,136.10999999999999,26,5,1,1,Loyal
222,2025-12-29,5,327.49,91,4,2,3,Loyal
223,2025-06-04,5,277.68,299,2,2,3,At-risk
224,2025-03-11,4,102.11,384,2,2,1,Lost
225,2026-02-28,18,1028.95,30,5,5,4,VIP
226,2024-05-29,4,91.62,670,1,2,1,Lost
227,2026-03-09,42,10453.81,21,5,5,5,VIP
228,2026-03-11,4,237.92000000000002,19,5,2,2,Loyal
229,2025-10-23,6,252.69,158,3,3,2,Loyal
230,2026-02-02,18,1633.35,56,4,5,5,VIP
231,2026-02-05,8,807.37,53,5,4,4,VIP
232,2025-04-13,2,103.4,351,2,1,1,Lost
233,2024-09-18,3,157.18,558,1,1,2,Lost
234,2025-11-27,2,175.13,123,3,1,2,Loyal
235,2024-07-05,1,37.82,633,1,1,1,Lost
236,2025-03-09,8,528.5699999999999,386,2,4,4,At-risk
237,2025-12-07,4,247.78,113,4,2,2,Loyal
238,2025-02-21,4,271.74,402,1,2,3,At-risk
239,2026-01-03,22,5338.78,86,4,5,5,VIP
240,2025-11-22,10,906.95,128,3,4,4,Loyal
241,2025-10-01,9,699.01,180,3,4,4,Loyal
242,2025-11-21,6,460.37,129,3,3,3,Loyal
243,2026-01-17,10,1287.88,72,4,4,5,VIP
244,2025-12-27,2,140.93,93,4,1,2,Loyal
245,2025-12-19,6,174.13,101,4,3,2,Loyal
246,2025-02-15,1,28.79,408,1,1,1,Lost
247,2025-12-18,7,610.12,102,4,3,4,Loyal
248,2025-09-24,7,484.61,187,3,3,3,Loyal
249,2026-01-12,2,59.760000000000005,77,4,1,1,Loyal
250,2025-11-25,6,430.5,125,3,3,3,Loyal
251,2024-12-31,5,356.36,454,1,2,3,At-risk
252,2024-10-27,1,18.53,519,1,1,1,Lost
253,2025-09-22,2,129.17000000000002,189,3,1,1,Loyal
254,2026-02-14,17,900.87,44,5,5,4,VIP
255,2026-02-18,8,965.3100000000001,40,5,4,4,VIP
256,2025-01-18,3,246.26,436,1,1,2,Lost
257,2025-09-14,5,168.38,197,3,2,2,Loyal
258,2026-03-08,14,1774.8,22,5,4,5,VIP
259,2026-03-19,41,5203.37,11,5,5,5,VIP
260,2025-10-07,2,124.33000000000001,174,3,1,1,Loyal
261,2026-01-30,8,539.19,59,4,4,4,VIP
262,2025-08-15,7,308.98,227,2,3,3,At-risk
263,2025-10-26,4,338.06,155,3,2,3,Loyal
264,2026-03-09,20,2556.23,21,5,5,5,VIP
265,2025-02-05,1,25.56,418,1,1,1,Lost
266,2026-02-17,11,1405.34,41,5,4,5,VIP
267,2026-03-17,15,2164.87,13,5,5,5,VIP
268,2026-02-25,9,737.34,33,5,4,4,VIP
269,2026-01-26,9,1134.83,63,4,4,4,VIP
270,2026-03-12,44,10760.59,18,5,5,5,VIP
271,2026-03-24,26,2711.75,6,5,5,5,VIP
272,2026-02-10,17,1966.61,48,5,5,5,VIP
273,2026-03-22,31,2444.1,8,5,5,5,VIP
274,2025-12-15,4,262.95,105,4,2,2,Loyal
275,2025-08-01,8,325.15,241,2,4,3,At-risk
276,2025-12-06,4,234.36,114,4,2,2,Loyal
277,2025-10-21,5,367.0,160,3,2,3,Loyal
278,2026-01-26,4,164.72,63,4,2,2,Loyal
279,2024-09-15,2,89.38,561,1,1,1,Lost
280,2024-12-03,4,225.65,482,1,2,2,Lost
281,2026-01-07,26,3399.47,82,4,5,5,VIP
282,2026-01-20,15,969.58,69,4,5,4,VIP
283,2026-03-12,18,2417.58,18,5,5,5,VIP
284,2026-02-23,10,1191.69,35,5,4,5,VIP
285,2025-10-04,5,432.91999999999996,177,3,2,3,Loyal
286,2026-01-19,6,377.82,70,4,3,3,Loyal
287,2026-03-09,24,5830.88,21,5,5,5,VIP
288,2025-06-19,6,514.19,284,2,3,4,At-risk
289,2025-11-24,7,372.8,126,3,3,3,Loyal
290,2026-01-09,16,848.16,80,4,5,4,VIP
291,2025-09-24,8,400.01,187,3,4,3,Loyal
292,2026-01-13,26,3035.52,76,4,5,5,VIP
293,2024-09-09,2,50.49,567,1,1,1,Lost
294,2026-03-03,21,2611.07,27,5,5,5,VIP
295,2025-01-09,11,468.4,445,1,4,3,At-risk
296,2024-06-13,3,100.83,655,1,1,1,Lost
297,2024-09-11,4,203.2,565,1,2,2,Lost
298,2024-11-08,3,111.09,507,1,1,1,Lost
299,2025-09-20,3,139.12,191,3,1,2,Loyal
300,2025-09-23,5,390.94,188,3,2,3,Loyal
301,2025-07-03,9,923.1,270,2,4,4,At-risk
302,2026-01-29,14,1724.1100000000001,60,4,4,5,VIP
303,2025-05-07,3,289.83,327,2,1,3,At-risk
304,2026-01-18,6,369.05,71,4,3,3,Loyal
305,2025-05-02,4,110.08,332,2,2,1,Lost
306,2025-10-14,6,234.72,167,3,3,2,Loyal
307,2025-11-08,3,171.76999999999998,142,3,1,2,Loyal
308,2025-12-18,4,256.69,102,4,2,2,Loyal
309,2026-01-15,19,1336.27,74,4,5,5,VIP
310,2025-10-24,10,879.1800000000001,157,3,4,4,Loyal
311,2025-12-14,6,351.94,106,4,3,3,Loyal
312,2025-12-17,5,409.45,103,4,2,3,Loyal
313,2025-12-19,17,1418.0900000000001,101,4,5,5,VIP
314,2025-12-08,7,337.98,112,4,3,3,Loyal
315,2025-12-06,7,384.4,114,4,3,3,Loyal
316,2024-12-29,3,118.80000000000001,456,1,1,1,Lost
317,2026-01-01,6,231.16,88,4,3,2,Loyal
318,2025-03-01,9,397.03000000000003,394,2,4,3,At-risk
319,2026-01-31,10,757.06,58,4,4,4,VIP
320,2024-10-18,4,76.52,528,1,2,1,Lost
321,2025-02-23,1,45.29,400,1,1,1,Lost
322,2025-11-16,7,267.85,134,3,3,2,Loyal
323,2025-09-30,7,431.72,181,3,3,3,Loyal
324,2025-11-19,5,363.14,131,3,2,3,Loyal
325,2025-05-27,10,416.36,307,2,4,3,At-risk
326,2025-09-01,3,146.36,210,3,1,2,Loyal
327,2024-12-27,5,160.2,458,1,2,2,Lost
328,2025-08-07,6,350.48,235,2,3,3,At-risk
329,2026-01-18,7,388.94,71,4,3,3,Loyal
330,2026-01-19,9,491.37,70,4,4,3,Loyal
331,2025-01-30,10,679.37,424,1,4,4,At-risk
332,2026-02-05,19,1282.85,53,5,5,5,VIP
333,2025-07-29,6,388.94,244,2,3,3,At-risk
334,2025-01-03,4,146.51999999999998,451,1,2,2,Lost
335,2026-01-07,9,588.59,82,4,4,4,VIP
336,2025-04-16,2,170.39,348,2,1,2,Lost
337,2026-02-02,21,1252.81,56,4,5,5,VIP
338,2025-07-04,4,290.02,269,2,2,3,At-risk
339,2026-02-12,16,782.18,46,5,5,4,VIP
340,2024-10-03,2,90.6,543,1,1,1,Lost
341,2026-03-12,21,2327.19,18,5,5,5,VIP
342,2024-06-01,2,107.03,667,1,1,1,Lost
343,2025-04-14,8,628.24,350,2,4,4,At-risk
344,2025-08-12,2,62.49,230,2,1,1,Lost
345,2025-02-21,9,499.29,402,1,4,3,At-risk
346,2025-03-21,4,151.86,374,2,2,2,Lost
347,2024-12-10,4,127.8,475,1,2,1,Lost
348,2026-03-09,9,769.28,21,5,4,4,VIP
349,2025-12-01,3,101.57,119,3,1,1,Loyal
350,2026-01-03,17,1494.82,86,4,5,5,VIP
351,2025-11-07,3,192.48,143,3,1,2,Loyal
352,2026-03-01,14,1914.94,29,5,4,5,VIP
353,2025-12-28,6,326.85,92,4,3,3,Loyal
354,2026-01-10,2,63.31999999999999,79,4,1,1,Loyal
355,2025-07-24,4,104.36,249,2,2,1,Lost
356,2026-03-01,3,200.89,29,5,1,2,Loyal
357,2025-04-29,5,542.36,335,2,2,4,At-risk
358,2024-10-30,4,338.36,516,1,2,3,At-risk
359,2026-02-14,4,146.49,44,5,2,2,Loyal
360,2026-01-24,6,417.37,65,4,3,3,Loyal
361,2025-01-15,2,90.84,439,1,1,1,Lost
362,2026-01-02,18,2079.56,87,4,5,5,VIP
363,2026-03-08,21,1158.8,22,5,5,4,VIP
364,2026-02-02,9,736.61,56,4,4,4,VIP
365,2025-08-24,9,452.49,218,3,4,3,Loyal
366,2025-02-26,6,417.15,397,1,3,3,At-risk
367,2025-03-19,7,595.0,376,2,3,4,At-risk
368,2025-07-08,11,630.0,265,2,4,4,At-risk
369,2025-10-20,3,229.77999999999997,161,3,1,2,Loyal
370,2024-04-22,2,46.849999999999994,707,1,1,1,Lost
371,2025-06-06,8,351.33,297,2,4,3,At-risk
372,2025-12-27,11,971.03,93,4,4,4,VIP
373,2025-12-01,6,408.16,119,3,3,3,Loyal
374,2025-05-13,3,211.85,321,2,1,2,Lost
375,2026-02-03,16,1722.04,55,4,5,5,VIP
376,2026-03-18,18,1460.97,12,5,5,5,VIP
377,2025-01-12,4,129.56,442,1,2,1,Lost
378,2025-10-20,4,261.15999999999997,161,3,2,2,Loyal
379,2026-01-22,3,157.13,67,4,1,2,Loyal
380,2025-10-17,9,535.64,164,3,4,4,Loyal
381,2026-02-01,7,528.85,57,4,3,4,Loyal
382,2024-07-02,3,106.63000000000001,636,1,1,1,Lost
383,2025-06-18,11,342.05,285,2,4,3,At-risk
384,2025-12-02,3,78.11,118,3,1,1,Loyal
385,2025-07-24,4,397.12,249,2,2,3,At-risk
386,2024-06-11,3,143.51999999999998,657,1,1,2,Lost
387,2024-12-24,5,498.81,461,1,2,3,At-risk
388,2024-09-07,3,133.95,569,1,1,1,Lost
389,2026-03-27,21,988.3100000000001,3,5,5,4,VIP
390,2024-10-30,2,35.86,516,1,1,1,Lost
391,2026-01-29,5,358.96999999999997,60,4,2,3,Loyal
392,2026-03-13,12,1155.19,17,5,4,4,VIP
393,2025-10-04,5,245.99,177,3,2,2,Loyal
394,2025-07-20,10,447.90999999999997,253,2,4,3,At-risk
395,2026-03-02,32,6644.86,28,5,5,5,VIP
396,2025-09-29,6,314.68,182,3,3,3,Loyal
397,2025-07-20,4,217.22,253,2,2,2,Lost
398,2025-12-12,12,682.32,108,4,4,4,VIP
399,2026-01-26,7,353.91,63,4,3,3,Loyal
400,2025-07-26,3,248.72,247,2,1,2,Lost
401,2025-11-07,4,302.58000000000004,143,3,2,3,Loyal
402,2024-07-16,1,23.66,622,1,1,1,Lost
403,2025-09-02,6,467.16,209,3,3,3,Loyal
404,2025-12-03,12,628.86,117,3,4,4,Loyal
405,2024-09-09,1,37.17,567,1,1,1,Lost
406,2025-04-04,4,182.49,360,2,2,2,Lost
407,2026-01-12,8,521.85,77,4,4,4,VIP
408,2024-12-12,7,540.03,473,1,3,4,At-risk
409,2026-01-25,21,2297.66,64,4,5,5,VIP
410,2025-01-15,1,36.97,439,1,1,1,Lost
411,2025-07-31,6,589.81,242,2,3,4,At-risk
412,2025-08-10,3,166.14000000000001,232,2,1,2,Lost
413,2026-01-24,17,1217.01,65,4,5,5,VIP
414,2025-01-16,4,167.88,438,1,2,2,Lost
415,2026-03-08,43,9691.58,22,5,5,5,VIP
416,2025-10-21,9,794.48,160,3,4,4,Loyal
417,2026-01-13,12,900.41,76,4,4,4,VIP
418,2025-02-09,6,280.36,414,1,3,3,At-risk
419,2026-01-13,13,1102.47,76,4,4,4,VIP
420,2024-07-10,4,192.94,628,1,2,2,Lost
421,2025-03-17,11,482.92,378,2,4,3,At-risk
422,2026-02-20,20,4299.61,38,5,5,5,VIP
423,2026-03-11,21,4548.59,19,5,5,5,VIP
424,2026-03-18,31,5170.12,12,5,5,5,VIP
425,2025-04-24,3,137.45,340,2,1,1,Lost
426,2025-05-15,9,751.79,319,2,4,4,At-risk
427,2025-11-25,16,2093.93,125,3,5,5,Loyal
428,2025-06-14,7,614.81,289,2,3,4,At-risk
429,2026-02-24,20,2228.42,34,5,5,5,VIP
430,2024-12-25,4,320.0,460,1,2,3,At-risk
431,2024-06-23,2,61.92,645,1,1,1,Lost
432,2025-03-30,9,433.27,365,2,4,3,At-risk
433,2025-07-23,3,150.42000000000002,250,2,1,2,Lost
434,2025-06-27,5,286.83,276,2,2,3,At-risk
435,2026-03-25,41,5706.2699999999995,5,5,5,5,VIP
436,2026-01-05,16,1783.47,84,4,5,5,VIP
437,2026-02-20,12,798.8199999999999,38,5,4,4,VIP
438,2025-10-29,2,155.42000000000002,152,3,1,2,Loyal
439,2025-08-07,8,395.02,235,2,4,3,At-risk
440,2025-09-17,5,329.14,194,3,2,3,Loyal
441,2024-06-17,1,26.21,651,1,1,1,Lost
442,2026-01-02,12,1616.71,87,4,4,5,VIP
443,2025-07-05,5,355.93,268,2,2,3,At-risk
444,2026-03-10,12,690.26,20,5,4,4,VIP
445,2026-02-13,18,2135.58,45,5,5,5,VIP
446,2025-08-21,10,402.78,221,2,4,3,At-risk
447,2024-10-04,1,18.75,542,1,1,1,Lost
448,2026-01-17,7,525.09,72,4,3,4,Loyal
449,2026-02-20,23,2085.1,38,5,5,5,VIP
450,2026-01-28,6,201.36,61,4,3,2,Loyal
451,2026-02-24,31,3433.0,34,5,5,5,VIP
452,2024-12-31,3,97.68,454,1,1,1,Lost
453,2025-04-14,4,299.06,350,2,2,3,At-risk
454,2026-02-21,17,2050.95,37,5,5,5,VIP
455,2025-09-19,9,691.13,192,3,4,4,Loyal
456,2026-01-29,19,1140.16,60,4,5,4,VIP
457,2024-10-05,1,40.49,541,1,1,1,Lost
458,2025-08-03,4,104.75,239,2,2,1,Lost
459,2025-10-31,10,783.1,150,3,4,4,Loyal
460,2025-12-19,4,213.37,101,4,2,2,Loyal
461,2025-08-04,4,362.31,238,2,2,3,At-risk
462,2026-02-03,10,898.93,55,4,4,4,VIP
463,2024-09-09,3,111.72,567,1,1,1,Lost
464,2025-11-12,4,102.91,138,3,2,1,Loyal
465,2025-04-16,2,167.34,348,2,1,2,Lost
466,2025-08-18,6,374.35,224,2,3,3,At-risk
467,2025-07-07,5,412.04,266,2,2,3,At-risk
468,2024-05-04,1,47.89,695,1,1,1,Lost
469,2025-11-18,15,2022.8400000000001,132,3,5,5,Loyal
470,2025-10-16,6,190.63,165,3,3,2,Loyal
471,2025-10-07,2,106.99000000000001,174,3,1,1,Loyal
472,2026-02-11,6,481.43,47,5,3,3,Loyal
473,2026-01-29,16,1321.21,60,4,5,5,VIP
474,2026-02-06,16,2279.87,52,5,5,5,VIP
475,2026-03-14,18,974.79,16,5,5,4,VIP
476,2025-08-25,3,278.68,217,3,1,3,Loyal
477,2025-02-17,2,176.31,406,1,1,2,Lost
478,2026-01-19,6,247.29,70,4,3,2,Loyal
479,2026-01-30,5,284.13,59,4,2,3,Loyal
480,2025-07-13,6,205.51999999999998,260,2,3,2,At-risk
481,2025-12-12,7,538.61,108,4,3,4,Loyal
482,2025-12-10,20,2468.5299999999997,110,4,5,5,VIP
483,2025-07-23,4,392.16999999999996,250,2,2,3,At-risk
484,2025-12-30,2,120.88,90,4,1,1,Loyal
485,2026-03-15,20,2441.62,15,5,5,5,VIP
486,2026-01-23,6,303.36,66,4,3,3,Loyal
487,2026-02-09,6,496.83,49,5,3,3,Loyal
488,2026-01-12,14,1570.6200000000001,77,4,4,5,VIP
489,2025-10-30,2,51.150000000000006,151,3,1,1,Loyal
490,2025-11-15,5,179.71,135,3,2,2,Loyal
491,2024-08-07,3,322.3,600,1,1,3,At-risk
492,2025-12-06,5,240.74,114,4,2,2,Loyal
493,2025-05-14,6,374.09000000000003,320,2,3,3,At-risk
